adg01	Adagio Swamp: West Side
adg02	Adagio Swamp: East Side
adg40	
adt01	Andante: Entrance
adt02	Andante
adt03	Andante: Cemetery Entrance
adt40	Andante: Residence
adt41	Andante: Infirmary
adt42	Andante: Meeting Room
adt43	Andante: Residence
adt44	Andante: Storage Room
agg01	Agogo Village
agg02	Agogo Village: Cave Front
agg40	Agogo Village: Salsa and March's House
agg41	Agogo Village: Item Shop
agg60	
agn01	Agogo Forest: Middle North
agn02	Agogo Forest: North
agn03	Agogo Forest: Middle North
agn04	Agogo Forest: North
ags01	Agogo Forest: South
ags02	Agogo Forest: Middle South
ags03	Agogo Forest: South
ags04	Agogo Forest: Middle South
ara01	Aria Temple: Entrance
ara02	Aria Temple: Gallery of Earth
ara03	Aria Temple: Gallery of Air
ara04	Aria Temple: Corridor
ara05	Aria Temple: Gallery of Heaven
ara06	Aria Temple: Corridor
ara07	Aria Temple: Gallery of Light
atn01	Andantino's Secret Passage: North Section 1
atn02	Andantino's Secret Passage: North Section 2
atn03	Andantino's Secret Passage: North Section 3
atn04	Andantino's Secret Passage: Cave - North
atn05	Andantino's Secret Passage: Cavern - South
atn06	Andantino's Secret Passage: South Section
bel01	Sharp Mountains: Base
bel02	Sharp Mountains: Second Point
bel03	Sharp Mountains: Sixth Point
bel04	Sharp Mountains: Eighth Point
bel05	Sharp Mountains: Summit
bel40	Sharp Mountains: Mountain Lodge
bqf01	Baroque Ship: Deck
bqf40	Baroque Ship: Drawing Room
bqf41	Baroque Ship: Guest Room
bqf42	Baroque Ship: Bedroom
bqf43	Baroque Ship: Bedroom
bqf44	Baroque Ship: Guest Room
bqf45	Baroque Ship: Drawing Room
bqf47	Baroque Ship: East Hallway
bqf48	Baroque Ship: West Hallway
bqf60	
bqj01	Baroque Castle: Audience Chamber
bqj02	Baroque Castle: First Floor - Main Hall
bqj03	Baroque Castle: Drawing Room
bqj04	Baroque Castle: Guest Room
bqj05	Baroque Castle: Guest Room
bqj06	Baroque Castle: Guest Room
bqj07	Baroque Castle: Guest Room
bqj08	Baroque Castle: Guest Room
bqj09	Baroque Castle: Guest Room
bqj10	Baroque Castle: Guest Room
bqj11	Baroque Castle: Guest Room
bqj12	Baroque Castle: Prince Crescendo's Room
bqj13	Baroque Castle: Princess Serenade's Room
bqj14	Baroque Castle: Office
bqj15	Baroque Castle: Laboratory
bqj16	Baroque Castle: Second Floor Hallway
bqj17	Baroque Castle: First Floor - West Hallway
bqj18	Baroque Castle: First Floor - East Hallway
bqj60	
bqm01	Baroque City: Entrance
bqm02	Baroque City: Main Street
bqm03	Baroque City: Castle Gate
bqm40	Baroque City: Residence
bqm41	Baroque City: Guest Room
bqm42	Baroque City: Guest Room
bqm43	Baroque City: Bar
bqm44	Baroque City: Wine Cellar
bqm45	Baroque City: Hotel Ensemble
bqm46	Baroque City: Warp Room
bqm49	Baroque Castle: Side Garden
cbl01	Cello Tree
cbl02	Cowbell Heights
cbs01	Cabasa Bridge
cnt01	Cantabile Inn: Front
cnt02	Cantabile Inn: Front
cnt03	Cantabile Inn: Front
cnt40	Cantabile Inn
cnt41	Cantabile Inn: Guest Room
cnt42	Cantabile Inn: Guest Room
cst01	Celesta Forest: Entrance
cst02	Celesta Forest: West Side
cst03	Celesta Forest: Middle
cst04	Celesta Forest: East Side
dld01	Double Reed Tower: West Tower - First Floor
dld02	Double Reed Tower: West Tower - Second Floor
dld03	Double Reed Tower: West Tower - Third Floor
dld04	Double Reed Tower: West Tower - Fourth Floor
dld05	Double Reed Tower: West Tower - Fifth Floor
dld06	Double Reed Tower: West Tower - Sixth Floor
dld07	Double Reed Tower: West Tower - Seventh Floor
dld08	Double Reed Tower: East Tower - First Floor
dld09	Double Reed Tower: East Tower - Second Floor
dld10	Double Reed Tower: East Tower - Third Floor
dld11	Double Reed Tower: East Tower - Fourth Floor
dld12	Double Reed Tower: East Tower - Fifth Floor
dld13	Double Reed Tower: West Tower - Sixth Floor
dld14	Double Reed Tower: West Tower - Seventh Floor
dld15	Double Reed Tower: Base
dld16	Hourglass Road
dld17	Top Floor: Core
dld18	Double Reed Tower: Base
